Ticker,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB3.SA,ITUB3.SA,ITUB3.SA,ITUB3.SA,ITUB3.SA,ITUB3.SA
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2001-01-01,3.063210964202881,3.3778109550476074,2.9059109687805176,3.088047981262207,1.7867718935012817,1641379441,3.063210964202881,3.344696044921875,3.063210964202881,3.112884998321533,1.538370132446289,15744737
2001-02-01,3.1244759559631348,3.1244759559631348,2.7651689052581787,2.823122024536133,1.6334837675094604,1210551910,3.0797688961029053,3.0797688961029053,2.8645169734954834,2.8645169734954834,1.41562819480896,103031163
2001-03-01,2.847959041595459,3.096327066421509,2.5499160289764404,2.781893014907837,1.6096292734146118,2051226051,2.8645169734954834,3.0300960540771484,2.682379961013794,2.847959041595459,1.4074455499649048,31154904
2001-04-01,2.642806053161621,2.947305917739868,2.516801118850708,2.9307479858398438,1.6957577466964722,1888971194,2.814842939376831,2.980422019958496,2.616147994995117,2.8645169734954834,1.41562819480896,1416837
2001-05-01,2.9307479858398438,3.2453479766845703,2.8065640926361084,3.1625590324401855,1.8298845291137695,1804129530,2.8645169734954834,3.146001100540161,2.8645169734954834,3.146001100540161,1.554736852645874,1094334
2001-06-01,3.1625590324401855,3.3529748916625977,2.95558500289917,3.344696044921875,1.9352697134017944,2026271201,3.146001100540161,3.17911696434021,3.096327066421509,3.112884998321533,1.538370132446289,65267924
2001-07-01,3.2950220108032227,3.3529748916625977,2.847959041595459,3.226969003677368,1.8671543598175049,1740111757,3.146001100540161,3.146001100540161,2.980422019958496,3.146001100540161,1.554736852645874,3401391
2001-08-01,3.2122321128845215,3.2950220108032227,2.8981289863586426,2.9067389965057373,1.6818660497665405,1785576451,3.146001100540161,3.228790044784546,2.897631883621216,2.897631883621216,1.4319933652877808,1312959
2001-09-01,2.8843860626220703,2.9141900539398193,2.3114829063415527,2.814842939376831,1.628692865371704,1424141773,2.8810739517211914,2.8810739517211914,2.649264097213745,2.649264097213745,1.3092522621154785,891410
2001-10-01,2.7817270755767822,3.0300960540771484,2.533358097076416,2.8396799564361572,1.643064022064209,2167339799,2.649264097213745,3.112884998321533,2.649264097213745,3.063210964202881,1.513822078704834,118591103
2001-11-01,2.814842939376831,3.1402060985565186,2.814842939376831,2.9141900539398193,1.686176061630249,2941991079,3.063210964202881,3.1294429302215576,2.897631883621216,2.897631883621216,1.4319933652877808,2063054
2001-12-01,2.9141900539398193,3.048309087753296,2.756890058517456,2.914025068283081,1.6860796213150024,2580447691,2.897631883621216,2.9141900539398193,2.8645169734954834,2.897631883621216,1.4319933652877808,7498526
